Rk,player,team,salary2015,salary2016,salary2017,salary2018,salary2019,salary2020,Signed Using,Guaranteed
26,Josh Richardson,MIA,525093,874636,1014746,,,,Minimum Salary,525093
27,Wesley Saunders,NYK,525093,,,,,,Minimum Salary,75000
28,Melvin Ejim,ORL,525093,,,,,,,
29,Keith Appling,ORL,525093,874636,,,,,,
30,Scottie Wilbekin,PHI,525093,874636,1014746,1088038,,,,
31,T.J. McConnell,PHI,525093,874636,,,,,,
32,Terrico White,PHO,525093,,,,,,,
33,Deonte Burton,PHO,525093,,,,,,,
34,Cliff Alexander,POR,525093,874636,,,,,,
35,Luis Montero,POR,525093,874636,1014746,,,,,1399729
36,Pat Connaughton,POR,525093,874636,1014746,,,,,1399729
37,Duje Dukan,SAC,525093,874636,,,,,Minimum Salary,525093
38,Jonathon Simmons,SAS,525093,874636,,,,,Minimum Salary,525093
39,Ronald Roberts,TOR,525093,874636,,,,,,
40,Michale Kyser,TOR,525093,,,,,,,
41,Axel Toupane,TOR,525093,,,,,,,
42,Shannon Scott,TOR,525093,,,,,,,
43,Treveon Graham,UTA,525093,874636,1014746,,,,Minimum Salary,75000
44,Thanasis Antetokounmpo,NYK,543471,874636,,,,,,
45,Carlos Delfino,LAC,650000,650000,650000,650000,,,,2600000
46,Norman Powell,TOR,650000,874636,1014746,,,,Cap Space,1524636
47,Anthony Brown,LAL,700000,850000,1000000,,,,Cap Space,1550000
48,Pierre Jackson,PHI,750000,900000,1000000,1100000,,,Cap Space,750000
49,Glenn Robinson III,IND,845000,980000,1051000,,,,,845000
50,Markel Brown,BRK,845059,,,,,,,
51,Cameron Bairstow,CHI,845059,980431,,,,,Cap Space,425000
52,Joe Harris,CLE,845059,980439,,,,,Cap Space,845059
53,Dwight Powell,DAL,845059,,,,,,,
54,Erick Green,DEN,845059,980431,,,,,,
55,Nick Johnson,DEN,845059,980431,,,,,Cap Space,1825490
56,Spencer Dinwiddie,DET,845059,980431,,,,,Cap Space,845059
57,Adonis Thomas,DET,845059,980431,,,,,,
58,James Michael McAdoo,GSW,845059,,,,,,Minimum Salary,100000
59,Shayne Whittington,IND,845059,980431,,,,,Minimum Salary,845059
60,Jabari Brown,LAL,845059,,,,,,,
61,Tarik Black,LAL,845059,,,,,,,
62,Jordan Clarkson,LAL,845059,,,,,,,
63,JaMychal Green,MEM,845059,980431,,,,,Minimum Salary,1825490
64,Russ Smith,MEM,816482,816482,,,,,,
65,Jarnell Stokes,MEM,845059,980431,,,,,MLE,845059
66,Tyler Johnson,MIA,845059,,,,,,,
67,James Ennis,MIA,845059,980431,,,,,,
68,Keith Benson,MIA,845059,,,,,,,
69,Johnny O'Bryant,MIL,845059,980431,,,,,Cap Space,845059
70,Marcus Landry,MIL,845059,,,,,,,
71,Cleanthony Early,NYK,845059,,,,,,Minimum Salary,845059
72,Langston Galloway,NYK,845059,,,,,,,
73,Devyn Marble,ORL,845059,980431,,,,,,
74,Jerami Grant,PHI,845059,980431,1051245,,,,Draft Pick,845059
75,JaKarr Sampson,PHI,845059,980431,1051245,,,,,
76,Cory Jefferson,PHO,845059,,,,,,,
77,Tim Frazier,POR,845059,,,,,,,
78,David Stockton,SAC,845059,,,,,,,
79,Bryce Cotton,UTA,845059,,,,,,,
80,Jack Cooley,UTA,845059,,,,,,,
81,Elijah Millsap,UTA,845059,980431,,,,,,
82,Damien Inglis,MIL,855000,980431,,,,,Cap Space,855000
83,Wayne Ellington,SAC,923670,923670,,,,,,3347560
84,Jorge Gutierrez,MIL,947200,,,,,,,
85,Mike Muscala,ATL,947276,,,,,,,
86,Willie Reed,BRK,947276,,,,,,Minimum Salary,500000
87,Troy Daniels,CHO,947276,,,,,,Minimum Salary,947276
88,Jamaal Franklin,DEN,947276,1269620,,,,,MLE,653184
89,Chris Babb,GSW,947276,,,,,,,
90,Lorenzo Brown,MIN,947276,,,,,,,
91,Hollis Thompson,PHI,947276,1015696,,,,,,
92,Isaiah Canaan,PHI,947276,,,,,,Cap Space,757821
93,Phil Pressey,POR,947276,,,,,,,
94,Allen Crabbe,POR,947276,,,,,,,
95,Seth Curry,SAC,947276,1015696,,,,,Minimum Salary,947276
96,Ray McCallum,SAS,947276,,,,,,,
97,Jeff Withey,UTA,947276,1015696,,,,,,
98,Grant Jerrett,UTA,947276,1015696,1087745,,,,Non Bird Rights,947276
99,Toure' Murry,WAS,947276,,,,,,,
100,Dewayne Dedmon,ORL,947278,,,,,,,
101,Justin Holiday,ATL,947300,1015700,,,,,Minimum Salary,1963000
102,John Jenkins,DAL,981000,1051000,1179000,,,,Minimum Salary,981000
103,Thomas Robinson,BRK,981300,1050960,,,,,Minimum Salary,2032260
104,Quincy Miller,BRK,981348,,,,,,,
105,Elliot Williams,CHO,981348,1050961,,,,,,
106,Jared Cunningham,CLE,981348,,,,,,,
107,Pablo Prigioni,LAC,981348,,,,,,Minimum Salary,981348
108,Robert Sacre,LAL,981348,,,,,,,
109,Hassan Whiteside,MIA,981348,,,,,,Minimum Salary,981348
110,Henry Sims,PHO,981348,,,,,,,
111,Diante Garrett,POR,981348,,,,,,,
112,Quincy Acy,SAC,981348,1050961,,,,,Minimum Salary,981348
113,Chris Johnson,UTA,981348,1050961,,,,,,
114,Walter Tavares,ATL,1000000,1000000,1000000,,,,,2000000
115,Rakeem Christmas,IND,1000000,1100000,1100000,1100000,,,,2100000
116,Joseph Young,IND,1000000,1050000,1100000,1150000,,,Cap Space,2050000
117,Robert Covington,PHI,1000000,1015696,1087745,,,,,2015696
118,Raul Neto,UTA,1000000,1000000,1000000,,,,,2000000
119,Donald Sloan,BRK,1015421,,,,,,,
120,E'Twaun Moore,CHI,1015421,,,,,,,
121,Joey Dorsey,DEN,1015421,,,,,,,1015421
122,James Anderson,SAC,1015421,1139123,,,,,Minimum Salary,1015421
123,Jimmer Fredette,SAS,1015421,,,,,,,
124,Jon Leuer,PHO,1035000,,,,,,,
125,Richaun Holmes,PHI,1050000,1050000,1050000,1050000,,,Cap Space,2100000
126,Chris Copeland,MIL,1100000,,,,,,,1100000
127,Luke Babbitt,NOP,1100000,1227000,,,,,Minimum Salary,2327000
128,Cole Aldrich,LAC,1100600,1227290,,,,,Minimum Salary,1100600
129,Wesley Johnson,LAC,1100600,1227300,,,,,Minimum Salary,1100600
130,Jeremy Evans,DAL,1100602,1227286,,,,,Early Bird Rights,2327888
131,Jeff Adrien,NOP,1100602,,,,,,,
132,Garrett Temple,WAS,1100602,,,,,,Minimum Salary,1100602
133,Kevon Looney,GSW,1131960,1182840,1233840,2227081,,,1st Round pick,2314800
134,Chris McCullough,BRK,1140240,1191480,1242840,2243326,,,1st Round pick,2331720
135,Josh Huestis,OKC,1140240,1191480,1242840,2243326,,,,2331720
136,Kyle Anderson,SAS,1142879,1192080,2151704,,,,1st Round Pick,1142879
137,Matthew Dellavedova,CLE,1147280,,,,,,,1147280
138,R.J. Hunter,BOS,1148640,1200240,1251960,2259788,,,1st Round pick,2348880
139,Damjan Rudez,MIN,1149500,1199000,,,,,MLE,1149500
140,Larry Nance Jr.,LAL,1155600,1207680,1259640,2272391,,,1st Round pick,2363280
141,C.J. Wilcox,LAC,1159680,1209680,2183328,,,,1st Round Pick,1159680
142,Archie Goodwin,PHO,1160160,2094089,,,,,1st Round Pick,1160160
143,Rudy Gobert,UTA,1175880,2121288,,,,,1st Round Pick,1175880
144,Tyler Hansbrough,CHO,1185784,,,,,,Minimum Salary,1185784
145,Toney Douglas,IND,1185784,,,,,,,
146,Reggie Williams,SAS,1185784,,,,,,,
147,Marcus Thornton,HOU,1186000,,,,,,Minimum Salary,1186000
148,Jordan Mickey,BOS,1200000,1200000,1200000,1200000,,,,2400000
149,Boban Marjanovic,SAS,1200000,,,,,,Cap Space,1200000
150,P.J. Hairston,CHO,1201440,1253160,2259447,,,,1st Round Pick,1201440
151,Andre Roberson,OKC,1210800,2183072,,,,,1st Round Pick,1210800
152,Jarell Martin,MEM,1230840,1286160,1341600,2516222,,,1st Round pick,2517000
153,Clint Capela,HOU,1242720,1296240,2334520,,,,1st Round Pick,1242720
154,Reggie Bullock,DET,1252440,2255644,,,,,1st Round Pick,1252440
155,JaVale McGee,DAL,1270964,1403611,,,,,Bird Rights,250000
156,Cartier Martin,DET,1270964,,,,,,Minimum Salary,1270964
157,Brandon Rush,GSW,1270964,,,,,,Minimum Salary,1270964
158,Tyus Jones,MIN,1282080,1339680,1397400,2444053,,,1st Round pick,2621760
159,Shabazz Napier,ORL,1294440,1350120,2361360,,,,1st Round Pick,1294440
160,Nikola Jokic,DEN,1300000,1350000,1400000,1450000,,,,4050000
161,Tim Hardaway,ATL,1304520,2281605,,,,,,
162,Rondae Hollis-Jefferson,BRK,1335480,1395600,1455720,2470357,,,1st Round pick,2731080
163,Rodney Hood,UTA,1348440,1406520,2386864,,,,1st Round Pick,1348440
164,Gerald Green,MIA,1356000,,,,,,Minimum Salary,1356000
165,Aaron Gray,DET,1356146,,,,,,,
166,Sasha Vujacic,NYK,1356146,,,,,,Minimum Salary,1356146
167,Solomon Hill,IND,1358880,2306019,,,,,1st Round Pick,1358880
168,Andrea Bargnani,BRK,1362900,1551660,,,,,Minimum Salary,1362900
169,Alonzo Gee,NOP,1375000,1375000,,,,,,1375000
170,Bobby Portis,CHI,1391160,1453680,1516320,2494346,,,1st Round pick,2844840
171,Jordan Adams,MEM,1404600,1465080,2410057,,,,1st Round Pick,1404600
172,Mason Plumlee,POR,1415520,2328530,,,,,,
173,Justin Anderson,DAL,1449000,1514160,1579440,2516048,,,1st Round pick,2963160
174,Mitch McGary,OKC,1463040,1526040,2430981,,,,1st Round Pick,1463040
175,Gorgui Dieng,MIN,1474440,2348783,,,,,1st Round Pick,1474440
176,Richard Jefferson,CLE,1499000,,,,,,Minimum Salary,1499000
177,James Jones,CLE,1499000,,,,,,Minimum Salary,1499000
178,Josh Smith,LAC,1499000,,,,,,Minimum Salary,1499000
179,David West,SAS,1499000,1552000,,,,,Minimum Salary,1499000
180,Jason Richardson,ATL,1499187,,,,,,,
181,Charlie Villanueva,DAL,1499187,,,,,,Minimum Salary,1499187
182,Samuel Dalembert,DAL,1499187,,,,,,Minimum Salary,1499187
183,Jason Terry,HOU,1499187,,,,,,Minimum Salary,1499187
184,Chuck Hayes,LAC,1499187,,,,,,,
185,Amar'e Stoudemire,MIA,1499187,,,,,,Minimum Salary,1499187
