Rk,player,team,salary2015,salary2016,salary2017,salary2018,salary2019,salary2020,Signed Using,Guaranteed
270,Maurice Harkless,POR,2894059,,,,,,1st Round Pick,2894059
271,John Henson,MIL,2943221,,,,,,1st Round Pick,2943221
272,Anthony Tolliver,DET,3000000,,,,,,Cap Space,400000
273,Brandon Bass,LAL,3000000,3000000,,,,,Cap Space,6000000
274,Jerryd Bayless,MIL,3000000,,,,,,Cap Space,3000000
275,Dante Cunningham,NOP,3000000,3000000,3000000,,,,MLE,6000000
276,D.J. Augustin,OKC,3000000,,,,,,,3000000
277,Furkan Aldemir,PHI,3000000,3000000,3000000,,,,Minimum Salary,3000000
278,Omri Casspi,SAC,3000000,3000000,,,,,Room Exception,6000000
279,Luis Scola,TOR,3000000,,,,,,,3000000
280,Bismack Biyombo,TOR,3000000,3000000,,,,,Mini MLE,6000000
281,Tibor Pleiss,UTA,3000000,3000000,3000000,,,,Cap Space,6000000
282,Jeremy Lamb,CHO,3034356,,,,,,1st Round Pick,3034356
283,Meyers Leonard,POR,3075880,,,,,,1st Round Pick,3075880
284,Austin Rivers,LAC,3100000,3300000,,,,,Non Bird Rights,3100000
285,Emmanuel Mudiay,DEN,3102240,3241800,3381480,4294480,,,1st round pick,6344040
286,Julius Randle,LAL,3132240,3267120,4149242,,,,1st Round Pick,3132240
287,Ben McLemore,SAC,3156600,4008882,,,,,1st Round Pick,3156600
288,Randy Foye,DEN,3270000,,,,,,Non Bird Rights,3270000
289,Andre Drummond,DET,3272091,,,,,,1st Round Pick,3272091
290,Drew Gooden,WAS,3300000,3600000,,,,,Non Bird Rights,3300000
291,Mike Scott,ATL,3333333,3333334,,,,,,3333333
292,Will Barton,DEN,3333333,3666666,3999999,,,,Bird Rights,10999998
293,K.J. McDaniels,HOU,3333333,3333333,3333334,,,,Mid-level exception,10000000
294,Anthony Morrow,OKC,3344000,3488000,,,,,Cap Space,3344000
295,Quincy Pondexter,NOP,3382023,3617978,3853931,,,,1st Round Pick,10853932
296,Willie Cauley-Stein,SAC,3398280,3551160,3704160,4696875,,,1st round pick,6949440
297,Paul Pierce,LAC,3400000,3500000,3700000,,,,Mini MLE,10600000
298,Evan Turner,BOS,3425510,,,,,,MLE,3425510
299,Bojan Bogdanovic,BRK,3425510,3573020,,,,,MLE,6998530
300,Marcus Smart,BOS,3431040,3578880,4538020,,,,1st Round Pick,3431040
301,Nerlens Noel,PHI,3457800,4384490,,,,,1st Round Pick,3457800
302,Matt Barnes,MEM,3542500,,,,,,,
303,Terrence Ross,TOR,3553917,,,,,,1st Round Pick,3553917
304,Patrick Mills,SAS,3578947,3578948,,,,,Bird Rights,7157895
305,Lavoy Allen,IND,3700000,4000000,4300000,,,,,7700000
306,Mario Hezonja,ORL,3741480,3909840,4078320,5167231,,,1st round pick,7651320
307,Kyle O'Quinn,NYK,3750000,3900000,4100000,4250000,,,Bird Rights,11750000
308,Steve Novak,OKC,3750000,,,,,,Early Bird,3750000
309,Nick Collison,OKC,3750000,3750000,,,,,Bird Rights,7500000
310,Dante Exum,UTA,3777720,3940320,4992385,,,,1st Round Pick,3777720
311,Alex Len,PHO,3807120,4823621,,,,,1st Round Pick,3807120
312,Marreese Speights,GSW,3815000,,,,,,MLE,3815000
313,Harrison Barnes,GSW,3873398,,,,,,1st Round Pick,3873398
314,Raymond Felton,DAL,3950313,,,,,,Cap Space,3950313
315,Thabo Sefolosha,ATL,4000000,3850000,,,,,,7850000
316,J.J. Barea,DAL,4000000,4000000,4000000,4000000,,,Cap Space,16000000
317,Ian Mahinmi,IND,4000000,,,,,,Early Bird Rights,4000000
318,Jordan Hill,IND,4000000,,,,,,Cap Space,4000000
319,Nemanja Bjelica,MIN,4000000,4000000,4000000,,,,MLE,12000000
320,Alan Anderson,WAS,4000000,,,,,,MLE,4000000
321,Devin Harris,DAL,4053000,4228000,4403000,,,,Cap Space,12684000
322,Vince Carter,MEM,4088091,4264057,,,,,,6088091
323,Kristaps Porzingis,NYK,4131720,4317720,4503600,5697054,,,1st round pick,8449440
324,Aaron Gordon,ORL,4171680,4351320,5504420,,,,1st Round Pick,4171680
325,Cody Zeller,CHO,4204200,5318313,,,,,1st Round Pick,4204200
326,Damian Lillard,POR,4236287,21000000,22500000,24000000,25500000,,1st Round Pick,124236287
327,Jared Dudley,WAS,4250000,,,,,,Bird Rights,4250000
328,Mario Chalmers,MIA,4300000,,,,,,Bird Rights,4300000
329,Alexis Ajinca,NOP,4300000,4600000,4900000,5300000,,,Early Bird Rights,19100000
330,Jason Smith,ORL,4300000,,,,,,Cap Space,4300000
331,C.J. Miles,IND,4394225,4583450,4772675,,,,MLE,8977675
332,Mike Dunleavy,CHI,4500000,4800000,5100000,,,,Early Bird Rights,14400000
333,Jameer Nelson,DEN,4500000,4500000,4500000,,,,Cap Space,13500000
334,Jahlil Okafor,PHI,4582680,4788840,4995120,6313832,,,1st round pick,9371520
335,Kostas Papanikolaou,DEN,4600000,,,,,,MLE,4600000
336,Kris Humphries,WAS,4600000,4600000,,,,,Bird Rights,9200000
337,Joel Embiid,PHI,4626960,4826160,6100266,,,,1st Round Pick,4626960
338,Jonas Valanciunas,TOR,4660482,,,,,,1st Round Pick,4660482
339,Otto Porter,WAS,4662960,5893981,,,,,1st Round Pick,4662960
340,Trevor Booker,UTA,4775000,,,,,,Cap Space,4775000
341,Derrick Williams,NYK,4900000,5100000,,,,,Cap Space,4900000
342,Timofey Mozgov,CLE,4950000,,,,,,Bird Rights,4950000
343,Jonas Jerebko,BOS,5000000,5000000,,,,,Bird Rights,10000000
344,J.R. Smith,CLE,5000000,5000000,,,,,Minimum Salary,5000000
345,Marcus Morris,DET,5000000,5000000,5000000,5000000,,,Bird Rights,20000000
346,Chase Budinger,IND,5000000,,,,,,Bird Rights,5000000
347,Chris Andersen,MIA,5000000,,,,,,Cap Space,5000000
348,Kyle Singler,OKC,5000000,5000000,5000000,5000000,5000000,,Bird Rights,20000000
349,C.J. Watson,ORL,5000000,5000000,5000000,,,,Cap Space,11000000
350,Chris Kaman,POR,5000000,,,,,,MLE,1000000
351,Tim Duncan,SAS,5000000,5500000,,,,,Bird Rights,5000000
352,Darren Collison,SAC,5013559,5229454,,,,,MLE,10243013
353,D'Angelo Russell,LAL,5103120,5332800,5562360,7019698,,,1st round pick,10435920
354,Dion Waiters,OKC,5138430,,,,,,,
355,Jabari Parker,MIL,5152440,5374320,6782392,,,,1st Round Pick,5152440
356,Tony Allen,MEM,5168539,5505618,,,,,Bird Rights,10674157
357,Victor Oladipo,ORL,5192520,6552960,,,,,1st Round Pick,5192520
358,Zaza Pachulia,DAL,5200000,,,,,,Cap Space,5200000
359,Nick Young,LAL,5219169,5443918,5668667,,,,Cap Space,16331754
360,Josh Smith,DET,5400000,5400000,5400000,5400000,5400000,,,27000000
361,Deron Williams,BRK,5500000,5500000,5500000,5500000,5500000,,,27500000
362,Deron Williams,DAL,5500000,5500000,,,,,Cap Space,5500000
363,Brandan Wright,MEM,5500000,5700000,6000000,,,,MLE,17200000
364,Mirza Teletovic,PHO,5500000,,,,,,Cap Space,5500000
365,P.J. Tucker,PHO,5500000,5300000,,,,,Cap Space,7000000
366,Nikola Mirotic,CHI,5543725,5782450,,,,,Cap Space,11326175
367,Spencer Hawes,CHO,5543725,5782450,6021175,,,,MLE,11326175
368,Shaun Livingston,GSW,5543725,5782450,,,,,MLE,8543725
369,Josh McRoberts,MIA,5543725,5782450,6021175,,,,MLE,11326175
